"ADream_1831" "ArthurMervyn_1793" "Assignation_1834" "BlithedaleRomance" "ChroniclesOftheCanongate2" "Destiny2" "HarryandLucy1" "HistOfNY" "Klosterheim_2" "LastDayOfPompeii3" "LastMohicans_4" "MinorMorals1" "PericlesAndAspesia2" "PiazzaTales" "QuakerCity" "RealLifeInLondon_1" "RecollectionsofSouthernMatron_2" "Rookwood1" "SheppardLee2" "Spaewife3" "StLeon_1" "TheDoctor2"
"he" 0.663900414937759 0.846024823884602 0.857787810383747 0.544198061868107 1.15034583181653 1.04251839738348 1.1936771775442 0.907247012388992 0.638904734740445 1.33619185321833 1.30573161774707 1.46018970968669 0.979554930426483 0.955609970490362 1.0690922539932 1.10970618573853 0.733930155657714 1.4486811534782 0.854099825664015 1.23079442185411 0.744520227000573 1.11809429654215
"it" 0.995850622406639 1.00167728950017 0.812641083521445 1.47785835114544 0.961048416454314 1.13171783245373 2.22439501344415 0.804919051273618 0.58185966913862 1.00214388991375 0.663746905688093 1.25898246622593 1.18048927512935 0.933006843724493 0.670734996108889 0.948324626493195 0.629082990563755 1.09676096760968 1.06945604242664 0.802336053270748 1.00874681105847 1.30169714944801
"with" 0.746887966804979 0.954713183495471 0.880361173814898 1.10150933004629 0.876107268535372 0.884561064446592 0.662022325429805 0.891715089719694 0.981175128351398 0.787754898539163 0.949375697070265 0.692727795343489 0.730898678856684 0.948075594901739 1.31565767473398 0.927528033806941 1.08073231712235 0.966926335930026 0.931745264360744 1.08342657533499 1.08684333836622 0.765011887107784
"as" 1.6597510373444 0.589734988258974 0.790067720090293 1.16576404096566 1.0071593253246 0.98676875046458 0.916646296748961 0.772027920915104 0.912721049629207 0.668095926609164 0.837844454721036 0.686979016958896 0.783643944341187 0.885289131663213 0.767049613585755 0.742854290753003 0.854907653843052 1.02842695093618 1.0401558768807 0.766858608738368 0.756234706096736 1.00275404279359
"for" 0.995850622406639 0.597115062059712 0.564334085778781 0.638613147300646 0.902803057881325 0.92172749572586 0.659985333659252 0.597522201512992 0.60467769537935 0.710475145834372 0.508691276080629 0.891060649611957 0.796202340885116 0.693162554153325 0.529345137652851 0.858483346088577 0.766190821840471 0.714090474238076 0.871679924991576 0.761400540348771 0.66642369969282 0.94626085728409
"is" 0.0829875518672199 0.493794028849379 0.72234762979684 0.53764145871307 0.849411479189419 0.758195198097079 1.10608653141041 0.530826298286007 0.296634341129492 0.850077279752705 0.503250727673349 0.850819200919805 1.03230019591099 0.482200037671878 0.504688595578774 1.10388313978638 0.58069199128962 0.447587809211425 0.53033299638143 0.526703599596103 0.594835216327381 0.908598733611091
"had" 1.16182572614108 0.974840657497484 0.586907449209932 0.807773508700612 0.512073777454192 0.624396045491712 0.596838588772101 0.479662317728319 1.11808328579578 0.663110136112081 0.818802535295558 1.0232825524576 0.404380368714523 0.537452125321781 0.27314825516439 0.450870129437993 0.459714493104283 0.813174798414651 0.949325363688305 0.695903719673608 1.04649346592388 0.715580349786974
"but" 0.580912863070539 0.807111707480711 0.564334085778781 0.628122582252587 0.614003154956923 0.947743997621348 0.875906461337896 0.495194240397617 0.536223616657159 0.720446726828539 0.525012921302467 0.709974130497269 0.663083337519465 0.917938092547247 0.320535046963007 0.508268725252055 0.604887490926688 0.635506355063551 0.546448087431694 0.796877984881151 0.614359348154319 0.600240096038415
"not" 0.4149377593361 0.922509225092251 0.496613995485327 0.540264099975085 0.681956073292076 0.938452389801531 1.16515929275646 0.360888791433688 0.387906446092413 0.835119908261455 0.454285792007834 0.796205806266168 0.826342492590546 0.732090161361211 0.268139895055593 0.504109406714804 0.524235825469796 0.792674593412601 0.562563178481958 0.690445651284011 0.840839277346801 0.833274486265094
"which" 0.746887966804979 0.802415296880241 0.948081264108352 0.618943337835534 0.779031670913724 0.364231026536832 0.600912572313208 0.733654935496839 1.14090131203651 0.535972478436456 0.503250727673349 0.646737568266743 0.406892048023308 0.455829723111697 0.338642195048658 0.623065916880178 0.459714493104283 0.4236709033757 0.700273956547855 0.663155309336026 0.765345967615973 0.998046277334463
