"ADream_1831" "BelOfPrairieEden" "ConfidenceMan" "Destiny1" "HarryandLucy3" "HistOfNY" "Klosterheim" "LastDayOfPompeii3" "Metzengerstein_1832" "MinorMorals3" "PericlesAndAspesia1" "RealLifeInLondon_2" "RecollectionsofSouthernMatron_1" "Rookwood2" "ScarletLetter" "SheppardLee2" "Spaewife1" "StLeon_1" "TheBravo2" "TheDoctor1" "Wieland" "Woodstock"
"they" 0.24896265560166 0.21465666474322 0.196703085245131 0.38258490606365 0.516691830229827 0.613967766692249 0.290963030579644 0.501071944956873 0.127105179536066 0.59587882515762 0.638724531478226 0.454847829702312 0.314566865623488 0.253237826495912 0.278102163418128 0.293001655459353 0.37359900373599 0.33841828500026 0.475428708119665 0.593863411415374 0.227049210184432 0.319335181720503
"so" 0.0829875518672199 0.18465089440277 0.568728485600051 0.386859597751512 0.412682435832914 0.26038811533823 0.348014605203104 0.403849030263748 0.317762948840165 0.376749192680301 0.346594707003689 0.291036088474971 0.233908694950799 0.470298820635265 0.557408232305599 0.442432499743624 0.514375439926363 0.305878065288697 0.391705413608025 0.382711976245464 0.180910868007916 0.426782078158225
"their" 0.0829875518672199 0.36930178880554 0.141113082893246 0.371898176843995 0.288542190907566 0.715382085297665 0.439297124600639 0.351498230044374 0.285986653956149 0.634322620329079 0.410962295447231 0.414102777315816 0.387159219228908 0.173648795311483 0.299772461866294 0.269561523022605 0.422329308571119 0.286353933461759 0.488884237594749 0.362916529198284 0.165126698315951 0.290782859590199
"said" 0 0.0577034045008656 0.299330781894764 0.448842627225511 1.2514678745177 0.0621276906771918 0.108397991784573 0.366455601535623 0.190657769304099 0.45363678302322 0.282227118560147 0.31681357059704 0.475883206968866 0.249620143260256 0.176974103993354 0.449757541130107 0.368184525420976 0.0976206591346905 0.245189648212657 0.191355988122732 0.117774189240053 0.750625521267723
"an" 0.16597510373444 0.306982111944605 0.348506553206046 0.348387372560754 0.23485992283174 0.330738588605051 0.279552715654952 0.186967143640624 0.667302192564347 0.307550361371675 0.269848736167158 0.421586562448029 0.427488304565252 0.293032342088127 0.403308332229753 0.268096514745308 0.276138394065732 0.389181027750299 0.287051295468477 0.29913119982404 0.417673413387404 0.296793874775526
"no" 0.0829875518672199 0.163877668782458 0.405165594064698 0.378310214375788 0.251635631605435 0.178160289441947 0.348014605203104 0.426285087500623 0.413091833492215 0.284484084268799 0.386205530661253 0.248627972725761 0.266171963219874 0.405180522393459 0.282917785295499 0.279816580963682 0.24906600249066 0.385276201384912 0.284061177807347 0.281535246893215 0.478381758356504 0.29979938236819
"one" 0.24896265560166 0.336987882285055 0.501379059673729 0.309915147369996 0.325448750209696 0.23937433760918 0.399361022364217 0.321583487061874 0.158881474420083 0.399815469783177 0.349070383482287 0.292699151837685 0.492014841103404 0.285796975616815 0.280509974356814 0.269561523022605 0.173263306080459 0.225178320404019 0.307982119096386 0.345320576267458 0.210050873593084 0.265987421950725
"who" 0.16597510373444 0.189267166762839 0.320711552030104 0.262893538803514 0.174467371246435 0.432152907210467 0.376540392514833 0.30164032507354 0.127105179536066 0.438259264954636 0.349070383482287 0.399135207051389 0.330698499758026 0.293032342088127 0.204663929788233 0.34867196999663 0.297796307325789 0.203050971000156 0.43207200203328 0.389310458594523 0.155413363120895 0.425279324361893
"been" 0.16597510373444 0.066935949221004 0.173184238096256 0.378310214375788 0.224794497567522 0.247597120198809 0.26814240073026 0.234332153362916 0.127105179536066 0.296017222820237 0.24509197138118 0.246964909363047 0.250040329085336 0.195354894725418 0.361171640802764 0.265166498190715 0.28696735069576 0.361847243192586 0.318447530910341 0.358517540965578 0.348465900122631 0.285523221303038
"are" 0 0.242354298903635 0.334609052618075 0.36121144762434 0.359000167757088 0.23937433760918 0.142628936558649 0.249289524854166 0.285986653956149 0.515146855297555 0.854108385116233 0.433228005987028 0.217777060816261 0.191737211489762 0.0794577609766081 0.10401558768807 0.173263306080459 0.252512104961733 0.366289413488421 0.415704387990762 0.180910868007916 0.273501190932384
