"Ainsworth_Rookwood1" "Ainsworth_Rookwood3" "Badcock_RealLifeInLondon_2" "Bird_Calavar" "Bird_NickOfTheWoods_1837" "Bird_SheppardLee2" "Bird_TheInfidel_v1_1835" "Bowring_MinorMorals1" "Bowring_MinorMorals3" "BrownCharlesBrockden_EdgarHuntley" "BrownCharlesBrockden_Ormond_1799" "BrownCharlesBrockden_Wieland" "Cooper_LastMohicans_1" "Cooper_LastMohicans_2" "Cooper_LastMohicans_3" "Cooper_LastMohicans_4" "Cooper_Monikins" "Cooper_PocketHandkerchief" "Cooper_TheBravo1" "Edgeworth_HarryandLucy1" "Edgeworth_HarryandLucy2" "Edgeworth_HarryandLucy3" "Edgeworth_HarryandLucy4" "Ferrier_Destiny1" "Ferrier_Destiny2" "Galt_Spaewife1" "Galt_Spaewife3" "Gilman_RecollectionsofSouthernMatron_1" "Godwin_StLeon_2" "Hawthorne_BlithedaleRomance" "Hawthorne_MossesFromAnOldManse" "Hawthorne_ScarletLetter" "Irving_HistOfNY" "Irving_RipVanWInkle" "Irving_SketchBookOfGeoffreyCrayon" "Landor_PericlesAndAspesia2" "Lippard_BelOfPrairieEden" "Lytton_LastDayOfPompeii1" "Lytton_LastDayOfPompeii2" "Melville_MobyDick" "Melville_Omoo_1847" "Melville_PiazzaTales" "Poe_Assignation_1834" "Poe_Berenice_1835" "Poe_CaskOfAmontillado_1846" "Poe_FactsOfTheCaseOfMValdemar_1845" "Poe_FallOfHouseUsher_1839" "Poe_HopFrog_1849" "Poe_KingPest_1835" "Poe_Ligeia_1838" "Poe_MaskOfTheRedDeath_1842" "Poe_Metzengerstein_1832" "Poe_Morella_1835" "Poe_TheManOfTheCrowd_1840" "Poe_TheMesmericRevelation_1844" "Poe_TheOvalPortrait_1842" "Poe_TheSphinx_1846" "Quincey_Klosterheim" "Quincey_NotebookEnglishOpiumEater" "Quincey_TheCaesars_1851" "Scott_ChroniclesOftheCanongate" "Scott_ThePirate_1822" "Scott_Woodstock" "Southey_TheDoctor2"
"he" 1.4486811534782 1.24928392015159 0.892233494096125 1.0757341898882 1.31649347028282 0.854099825664015 1.26371799135351 1.46018970968669 1.4647085960326 0.769499825113676 1.38108081759984 1.14253105231845 1.08533035932867 1.26176102681242 1.3385205539081 1.30573161774707 0.966071891441262 0.450938306126066 0.983518210805227 1.1936771775442 1.25564057288601 1.48632779734944 1.31388893722917 1.4683565947806 1.04251839738348 1.36986301369863 1.23079442185411 1.14534602355219 1.06726364014994 0.544198061868107 1.01142459358749 0.734382336298954 0.907247012388992 2.38618064705021 1.05854875103915 0.979554930426483 0.872475476053087 1.23408036331326 1.03475900129067 0.837437954326763 0.924450738577133 0.955609970490362 0.857787810383747 0.250156347717323 2.26980728051392 0.678733031674208 0.7535584705554 0.748544496811755 0.469985045930357 0.0162337662337662 0.57923045097228 1.01684143628853 0 0.939635535307517 0.401606425702811 0.775795190069822 0.866738894907909 0.9185303514377 1.00648840665515 1.15998816050966 1.11118654807975 0.905642085895033 1.26982695790035 1.11809429654215
"it" 1.09676096760968 1.13911778962676 0.772492931980708 0.77903387285166 1.01581751456281 1.06945604242664 0.942245870746037 1.25898246622593 0.945717361217899 0.951805568804519 1.07236863484223 0.989546022996321 0.699072436961075 0.79675857943112 0.829773920613761 0.663746905688093 0.963269652452309 1.20709686312349 0.866753491714196 2.22439501344415 1.86562505573689 1.98288877705083 1.82204200964099 1.11355718468805 1.13171783245373 0.855487573772267 0.802336053270748 0.830779157928698 0.903269471053728 1.47785835114544 1.20934168679961 1.29419837954324 0.804919051273618 0.775874688918167 0.857448240370532 1.18048927512935 0.821696480092325 0.9754171191628 1.10596822288486 1.14040185589208 0.819220707696544 0.933006843724493 0.812641083521445 1.21951219512195 1.54175588865096 1.27262443438914 0.795422830030701 1.24757416135292 0.512710959196753 0.892857142857143 0.703351261894911 0.285986653956149 0.75685903500473 0.597949886104784 1.15127175368139 0.775795190069822 1.30010834236186 0.661798265632131 1.08865072556577 0.885142849088782 0.963330089543682 0.862115868768455 0.960259675856006 1.30169714944801
"with" 0.966926335930026 1.00030846516547 0.935473141526692 1.22747371933923 1.08213201106246 0.931745264360744 1.27896020396852 0.692727795343489 0.757342764877749 0.860652696959098 0.971630975205537 0.911839341435874 0.835078747653891 1.03605808451623 0.82705335038224 0.949375697070265 0.723678218896899 0.645885434101963 0.934117752728253 0.662022325429805 0.679544116860185 0.62070122462674 0.664775594730522 0.987453779896125 0.884561064446592 0.990849531647626 1.08342657533499 1.26633327956122 1.01390045814244 1.10150933004629 1.08922648540191 1.19427422558781 0.891715089719694 1.06865759039672 1.12980483749654 0.730898678856684 1.29024812463935 0.947773719024583 0.94797276247274 0.805998304164325 0.93526877913495 0.948075594901739 0.880361173814898 0.875547217010632 0.813704496788009 0.650452488687783 0.837287189506001 0.720820626559468 1.02542191839351 1.16883116883117 1.11708729830368 0.889736256752463 0.804162724692526 1.36674259681093 0.72289156626506 0.698215671062839 0.812567713976165 0.94705613874943 0.69113009436584 0.778023650791414 0.983698071076712 0.964006786132943 0.931707353725702 0.765011887107784
"as" 1.02842695093618 0.843872559820209 0.724264094461999 1.07312698147839 1.03314971251159 1.0401558768807 0.913147101208292 0.686979016958896 0.565123789020452 0.474842867287778 0.718162025151919 0.517235099136727 0.772515844735196 0.783162016642193 0.837935631308322 0.837844454721036 1.17203645712925 1.14802197585806 0.741006871154623 0.916646296748961 0.847200670626215 0.905888273779567 0.800515114073404 0.899822600294954 0.98676875046458 0.768855920732037 0.766858608738368 0.806581706726891 0.683309037900875 1.16576404096566 0.996410193412773 1.02693136534919 0.772027920915104 0.556287512809252 0.634970903764697 0.783643944341187 0.73398730525101 0.718728403593642 0.7521474030887 0.819336337566571 0.878228201648276 0.885289131663213 0.790067720090293 1.00062539086929 0.599571734475375 1.15950226244344 0.837287189506001 1.38619351261436 0.662251655629139 0.584415584415584 0.661977658254034 0.635525897680331 0.709555345316935 0.683371298405467 1.01740294511379 0.465477114041893 0.975081256771398 0.815837517115472 1.07898457039982 1.03736486772188 1.02066218571073 1.03275842454879 1.14735252349931 1.00275404279359
"for" 0.714090474238076 0.696249944916935 0.848993846665558 0.853078591690305 0.780702481518602 0.871679924991576 0.767653253519565 0.891060649611957 0.461325542057512 0.479082535745705 0.669417996295454 0.530590935029929 0.541305116557408 0.647196388752923 0.56859917838779 0.508691276080629 0.774819080445276 0.866431679892878 0.700588314546189 0.659985333659252 0.743753009791856 0.872336856232176 0.812696865809303 0.910509329514609 0.92172749572586 0.877145487032324 0.761400540348771 0.975963865139539 0.631247396917951 0.638613147300646 0.585561606813808 0.514067635409268 0.597522201512992 0.468452642365686 0.536004117018329 0.796202340885116 0.470859780727063 0.693059532036726 0.747696826739063 0.758838828920667 0.775948545465274 0.693162554153325 0.564334085778781 0.469043151969981 0.642398286937901 0.84841628959276 0.739603684063634 0.859439977820904 0.534073915829951 0.405844155844156 0.206868018204386 0.317762948840165 0.75685903500473 0.484054669703872 0.589022757697456 0.930954228083786 0.487540628385699 0.696029210406207 0.884453197684956 0.856953586378948 0.866016399996983 0.825514277093834 0.805476034833833 0.94626085728409
"had" 0.813174798414651 0.583880491781607 0.439880259437885 0.480247789087269 0.779195333870883 0.949325363688305 0.508535639064405 1.0232825524576 0.649700138397663 1.21784476453941 1.14385987716505 1.09396437634317 0.650110165111661 0.720617827813129 0.786244796909432 0.818802535295558 0.748898369797468 0.876277494437115 0.50298648223829 0.596838588772101 0.741969429432643 0.768327461835263 0.864904373248873 0.782268578878748 0.624396045491712 0.736369050841951 0.695903719673608 0.524278109372479 1.35490420658059 0.807773508700612 0.739800444972223 0.914968156700336 0.479662317728319 0.76123554384424 0.649222121056173 0.404380368714523 0.189267166762839 0.481784973837496 0.520717432907562 0.365366843554395 0.543852402588462 0.537452125321781 0.586907449209932 0.625390869293308 0.899357601713062 1.10294117647059 1.07451855986603 0.720820626559468 0.363170262764367 0.730519480519481 0.868845676458419 0.540197013028281 0.473036896877956 0.882687927107061 0.34805890227577 1.08611326609775 1.24593716143012 1.02122318575993 0.650048934910528 0.680770694442487 0.538619956095684 0.642506318720725 0.64693550932083 0.715580349786974
"is" 0.447587809211425 0.680826686643458 0.975386662231831 0.547513766060404 0.409190586355792 0.53033299638143 0.810608579980047 0.850819200919805 1.1802245117638 0.306316046085196 0.285964969291262 0.461383421765156 0.666430922394799 0.511230760863654 0.574040318850831 0.503250727673349 0.922637187112503 0.970797314061792 1.07333722549064 1.10608653141041 0.920327465353951 0.936084549572219 0.800515114073404 0.639066407335371 0.758195198097079 0.557691266446478 0.526703599596103 0.556541377641555 0.402176176593086 0.53764145871307 0.560992588346096 0.410531765045809 0.530826298286007 0.292782901478554 0.752939313566367 1.03230019591099 0.685516445470283 0.957646361931089 0.838933641906627 0.804092870821146 0.426820872917527 0.482200037671878 0.72234762979684 0.562851782363977 0.856531049250535 0.42420814479638 0.111638291934133 0.360410313279734 0.21362956633198 0.25974025974026 0.165494414563508 0.285986653956149 0.709555345316935 0.341685649202733 2.81124497991968 0.155159038013964 0.433369447453955 0.290963030579644 1.22276862849341 0.532777065215859 0.811701782575569 0.657839417935769 0.656703408996987 0.908598733611091
"but" 0.635506355063551 0.746926364958357 0.447364044570098 0.607479559486067 0.689520048831584 0.546448087431694 0.676199977829509 0.709974130497269 0.768875903429187 0.776919244915048 0.737659636694505 0.814705989485315 0.465141582569431 0.562897699461576 0.519628914220421 0.525012921302467 0.47988342685806 0.59468719847193 0.579332644720887 0.875906461337896 0.779424616976118 0.85556114745848 0.871865374240816 0.882723833543506 0.947743997621348 0.887974443662353 0.796877984881151 0.588804645910631 0.52582257392753 0.628122582252587 0.630604807337947 0.568243381529682 0.495194240397617 0.717318108622456 0.560547880131428 0.663083337519465 0.431621465666474 0.718728403593642 0.687614046018959 0.859826796109105 0.600892980075136 0.917938092547247 0.564334085778781 0.75046904315197 0.770877944325482 0.452488687782805 0.530281886687134 0.526753534793457 0.384533219397565 0.681818181818182 0.786098469176665 0.571973307912297 1.0879848628193 0.5125284738041 1.12449799196787 0.775795190069822 0.325027085590466 0.524874486535828 0.796249531795609 0.617344853345361 0.727212377697815 0.63607630937248 0.698780515294277 0.600240096038415
"not" 0.792674593412601 0.839465914599216 0.508065857309163 0.778512431169698 0.471737213736144 0.562563178481958 1.02677086797473 0.796205806266168 0.703521451637706 0.873371702332878 0.880642121340136 0.955549349813625 0.446100699072437 0.465002447381302 0.46521750959001 0.454285792007834 0.554142760065292 0.825079258807081 0.826334935105762 1.16515929275646 1.063013894091 0.845495722194263 0.965838887632042 0.63692906149144 0.938452389801531 0.74719800747198 0.690445651284011 0.685594450717858 0.810860058309038 0.540264099975085 0.483190696531674 0.579078530753765 0.360888791433688 0.19030888596106 0.314318514706464 0.826342492590546 0.403923831506059 0.841149175634317 0.807779607459166 0.543524861141545 0.314706634409237 0.732090161361211 0.496613995485327 1.12570356472795 0.899357601713062 0.395927601809955 0.655874965113034 0.471305794288883 0.405896176030763 0.681818181818182 0.165494414563508 0.317762948840165 0.425733207190161 0.569476082004556 0.669344042838019 0.930954228083786 0.270855904658722 0.462117754450023 0.749127025361575 0.445390350815374 0.684213305572529 0.585130850690237 0.78218335099069 0.833274486265094
"which" 0.4236709033757 0.528797426519191 0.624480292699152 0.555335391289838 0.637523454985268 0.700273956547855 0.629087684292207 0.646737568266743 0.657388897431954 0.970884076865189 0.812400480941085 0.886341836548852 0.650110165111661 0.617283950617284 0.489702641673695 0.503250727673349 0.529623168911961 0.3859559301341 0.651187856469215 0.600912572313208 0.775857456257692 0.811944304646871 0.722203852914049 0.465941393976959 0.364231026536832 0.606421571281607 0.663155309336026 0.459751572834328 0.584391920033319 0.618943337835534 0.644254262042231 0.656128480791688 0.733654935496839 0.614844093104963 0.683266695696924 0.406892048023308 0.33467974610502 0.852996347122125 0.705416351417509 0.297723959871574 0.410102082964536 0.455829723111697 0.948081264108352 0.469043151969981 0.342612419700214 0.42420814479638 1.32570471671783 0.415858053784308 0.833155308694723 0.909090909090909 0.910219280099297 0.603749602796314 0.898770104068117 0.854214123006834 1.12449799196787 1.70674941815361 1.40845070422535 1.07827476038339 0.762417988714764 0.913332111798616 0.777000777000777 0.923448265628632 0.818249442102653 0.998046277334463
